Role,Sampling,Method,Budget,n_realizations,Primary_mean,Primary_SD,Primary_q025,Primary_median,Primary_q975,FN_RMSE_mean,FN_R2_mean,UN_RMSE_mean,UN_R2_mean
zero_shot_control,RSGS,NoUpdate,3,504,0.9314829037941326,0.0,0.9314829037941326,0.9314829037941326,0.9314829037941326,1.7944347213231926,0.6789090516640405,5.630657316709836,-0.8727325267586028
zero_shot_control,RSGS,NoUpdate,6,504,0.9347617550331426,0.0,0.9347617550331426,0.9347617550331426,0.9347617550331426,1.8170857334581019,0.6752839972342963,5.6285799812588975,-0.900588349665826
zero_shot_control,RSGS,NoUpdate,9,504,0.9434264977992574,0.0,0.9434264977992574,0.9434264977992574,0.9434264977992574,1.7840338035514185,0.6944705982213262,5.747641638067264,-0.883101895192907
zero_shot_control,RSGS,NoUpdate,12,504,0.9551234793286354,0.0,0.9551234793286354,0.9551234793286354,0.9551234793286354,1.7519425415191505,0.6946889312414462,5.891575569815926,-1.0390002296707506
zero_shot_control,P2-PAM,NoUpdate,3,504,0.9461113327343446,0.0,0.9461113327343446,0.9461113327343446,0.9461113327343446,1.7887832957237542,0.6854798465623031,5.764437599631224,-0.8076930227064423
zero_shot_control,P2-PAM,NoUpdate,6,504,0.9500499257899543,0.0,0.9500499257899543,0.9500499257899543,0.9500499257899543,1.7972188970713165,0.6863483739398862,5.787108687597472,-0.785850081189166
zero_shot_control,P2-PAM,NoUpdate,9,504,0.9660999087475404,0.0,0.9660999087475404,0.9660999087475404,0.9660999087475404,1.8295807334613399,0.6816265677628863,5.882194105358005,-0.8292627695856576
zero_shot_control,P2-PAM,NoUpdate,12,504,0.9568246426354219,0.0,0.9568246426354219,0.9568246426354219,0.9568246426354219,1.7634320623030713,0.7081228425939767,5.890849661530301,-0.8168596390472056
zero_shot_control,Random,NoUpdate,3,504,0.953397276829254,0.012874388285496195,0.9256878223680294,0.9571166824105473,0.9694676527895747,1.7898866229189037,0.6857849765435465,5.825816728013307,-0.8451570592157456
zero_shot_control,Random,NoUpdate,6,504,0.9532422959600444,0.01901354825353929,0.9081353959475262,0.9538609653188721,0.9821323679242611,1.7906514213023035,0.685055598201151,5.823454399323202,-0.8450673465903946
zero_shot_control,Random,NoUpdate,9,504,0.9533056368919915,0.024286705113958154,0.8966211081935656,0.9555231030764761,0.988938257064047,1.7915325068583094,0.6834740110856861,5.822819713713544,-0.845924349149673
zero_shot_control,Random,NoUpdate,12,504,0.9527216608344271,0.028770314243935904,0.8864739694086915,0.955022197929532,0.9993514988323003,1.7908676772605834,0.6818897508148413,5.818672806897556,-0.8497757485921791
