Domain,Observation_ID,Study_or_target_group,Grain,PC1,PC2,PC1_explained_variance,PC2_explained_variance
Historical 906,V44_580dee3b2d6e,Murphy2011_AFST,record,-1.056132457094079,-1.698540171636478,0.3581851925549009,0.2292279722724193
Historical 906,V44_5778c44e2026,OShea2011_BetaGlucan,record,-1.725927899836105,-1.100412128552398,0.3581851925549009,0.2292279722724193
Historical 906,V44_c59ad41ec29e,OShea2011_BetaGlucan,record,-1.842360966742468,-1.283715832095276,0.3581851925549009,0.2292279722724193
Historical 906,V44_d03fbe92f9a2,OShea2011_BetaGlucan,record,-1.50371255471166,-0.6071006672269792,0.3581851925549009,0.2292279722724193
Historical 906,V44_f01b88cef240,OShea2011_BetaGlucan,record,-1.517483590495345,-0.7287427731074065,0.3581851925549009,0.2292279722724193
Historical 906,V44_786cc7020ce8,Osada2011_LowCP_GHG,record,0.1586067177193763,-0.5117913773315937,0.3581851925549009,0.2292279722724193
Historical 906,V44_e4ffc1edcb87,Osada2011_LowCP_GHG,record,-0.6885756604203104,0.3047771375979396,0.3581851925549009,0.2292279722724193
Historical 906,V44_af2b460209d8,Susenbeth2011_AAN,record,1.080059552285208,-0.5024109528004852,0.3581851925549009,0.2292279722724193
Historical 906,V44_d5fcda9842a5,Susenbeth2011_AAN,record,1.040110424633376,-0.3200513936857353,0.3581851925549009,0.2292279722724193
Historical 906,V44_1b6b0872d542,Susenbeth2011_AAN,record,1.067362370969859,-0.4425267034922935,0.3581851925549009,0.2292279722724193
Historical 906,V44_33ab25cfc887,Varley2011_AAN,record,-2.506169503034397,0.2181246073842839,0.3581851925549009,0.2292279722724193
Historical 906,V44_506378961d7f,Varley2011_AAN,record,-0.6145410518465831,-1.564742922213642,0.3581851925549009,0.2292279722724193
Historical 906,V44_1abb55bb6d13,Varley2011_AAN,record,-1.259995295848291,-0.862639612267022,0.3581851925549009,0.2292279722724193
Historical 906,V44_dbae9ab0792c,Varley2011_AAN,record,-1.301037122207495,-0.8118519016279983,0.3581851925549009,0.2292279722724193
Historical 906,V44_253c6d3c5a89,Varley2011_P_PHY,record,2.018961382726616,-0.1189074350955984,0.3581851925549009,0.2292279722724193
Historical 906,V44_496d7f7f5dcb,Varley2011_P_PHY,record,2.102479635911915,-0.08372923387133595,0.3581851925549009,0.2292279722724193
Historical 906,V44_69e30aedbe92,Varley2011_P_PHY,record,1.908149515625588,-0.004693207096169367,0.3581851925549009,0.2292279722724193
Historical 906,V44_2827901fd5f0,Blank2012_AAN,record,-0.7072570888933383,1.146181793147529,0.3581851925549009,0.2292279722724193
Historical 906,V44_1a047f88589e,Blank2012_AAN,record,-0.02870281860686002,0.3257240939165676,0.3581851925549009,0.2292279722724193
Historical 906,V44_581e1615943f,Blank2012_AAN,record,-0.02374226689480744,-0.6655649270865288,0.3581851925549009,0.2292279722724193
Historical 906,V44_9927b792a8f5,Blank2012_AAN,record,-0.007604715346181098,-1.532045135658144,0.3581851925549009,0.2292279722724193
Historical 906,V44_42437784f33f,Blank2012_AAN,record,0.4327206500107613,0.1111874066319024,0.3581851925549009,0.2292279722724193
Historical 906,V44_b20fd4bd2a36,Blank2012_AAN,record,0.8022855981195668,-1.151232985350645,0.3581851925549009,0.2292279722724193
Historical 906,V44_43ab48de8c59,Blank2012_AAN,record,0.3762660341357212,-0.9667241794707955,0.3581851925549009,0.2292279722724193
Historical 906,V44_0fa7c76fe191,Blank2012_AAN,record,0.7562189510416958,-1.039657539967568,0.3581851925549009,0.2292279722724193
Historical 906,V44_9d2ec3d5d7d4,Brestensky2012_JAS,record,-0.2360750402375578,-1.236199634109069,0.3581851925549009,0.2292279722724193
Historical 906,V44_4fdaf7ad5e3b,Brestensky2012_JAS,record,-0.231259270040121,-1.348759965990301,0.3581851925549009,0.2292279722724193
Historical 906,V44_6b996bfecd0c,Koopmans2012_JAS,record,1.150798193949277,1.01942343811727,0.3581851925549009,0.2292279722724193
Historical 906,V44_c75650a8fae4,Koopmans2012_JAS,record,1.256656972732402,0.9154754709486965,0.3581851925549009,0.2292279722724193
